品號 | SKU,品名 | Product Name,規格 | Specification,庫存單位 | Inventory Units,商品級別 | Product Grade,品牌類別 | Brand Category,保存天數 | Storage Days,備貨型態 | Inventory type,儲存溫層 | Storage temperature layer,失效日期 | Expiry Date
A0101001,日清山茶花強力粉25K,25KG/包,包,S+級,日清製粉,270,常備,常溫,
A0101002,日清山茶花強力粉1K,1KG分裝,KG,S+級,日清製粉,240,常備,常溫,
A0101003,日清百合花法國粉25K,25KG/包,包,S+級,日清製粉,270,常備,常溫,
A0101005,日清山茶花(特)強力粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101007,日清紫蘿蘭薄力粉25K,25KG/包,包,S+級,日清製粉,270,常備,常溫,
A0101008,日清紫蘿蘭薄力粉1K,1KG分裝,KG,S+級,日清製粉,270,常備,常溫,
A0101009,日清紫蘿蘭(特)薄力粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101011,日清SK特高筋粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101013,日清傳奇強力粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101015,日清PUR法國小麥法國粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101017,日清裸麥細挽全粒粉20K,20KG/包,包,S+級,日清製粉,90,客訂,常溫,
A0101019,日清裸麥中挽全粒粉20K,20KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101021,日清裸麥粗挽全粒粉20K,20KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101023,日清全麥粗粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101029,日清超級全麥高筋粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101031,日清超級全麥低筋粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101032,日清超級全麥低筋粉1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101033,日清MK專用粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101035,日清杜蘭小麥麵粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101036,日清杜蘭小麥麵粉1K,1KG分裝,KG,S+級,日清製粉,0,停售,常溫,
A0101037,日清特NO.1 25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101038,日清特NO.1 1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101041,日清海洋強力粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101044,日清荒武者 1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101046,日清傾奇者 1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101047,日清芳醇強力粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101048,日清芳醇強力粉1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101049,日清雪藏強力粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101052,日清真麵許皆傳1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
